,publishedAt,nTags,categoryId,duration,definition,caption,embeddable,publicStatsViewable,madeForKids,viewCount,likeCount,dislikeCount,commentCount,country,channelPublishedAt,channelViewCount,subscriberCount,hiddenSubscriberCount,videoCount,defaultTab,title_polarity_scores,description_polarity_scores,ct_polarity_scores
15,114110010.482989,32,24,7803,1,0,1,1,0,2418306,9678,2443,598,35,213924841.482989,366758740,910000,0,5969,0,0.0,0.8057,0.0
16,24366174.482989,4,10,187,1,0,1,1,0,218646,7044,103,86,21,219914375.482989,82928550,23100,0,144,0,0.0,0.4215,0.0
17,66690877.482989,1,22,188,1,0,1,1,0,723461,15083,69,582,21,93427958.482989,158832661,288000,0,109,0,0.0,-0.8079999999999999,0.0
18,37305093.482989,8,10,228,1,0,1,1,0,709697,32083,80,792,9,289720582.482989,3961086948,5790000,0,26284,0,0.4404,0.4404,0.0
19,307469668.482989,1,10,316,1,1,1,1,0,8742755,131646,3098,4539,58,328547128.482989,15341355,28400,0,373,0,0.6369,0.0,0.0
20,17715001.482989,21,10,36065,1,0,1,1,0,45542,251,24,23,39,25438401.432137,106464,1893,1,29,0,0.0,0.9949,0.5267
21,234988529.482989,19,1,7857,0,0,1,1,0,731117,1361,344,51,35,248481505.482989,130071280,420000,0,774,0,-0.6114,-0.594,0.0
22,37200401.482989,0,10,373,0,0,1,1,0,22559,432,5,53,21,130757334.482989,22639,31,0,1,0,0.0,0.6369,0.0
23,36963094.482989,19,1,9625,1,1,1,1,0,1262515,7337,1002,574,35,309148516.482989,3835649628,13900000,0,1176,0,0.1027,0.7941,0.0
24,66579589.482989,25,10,188,1,0,1,1,0,310102,6267,20,277,21,152808158.482989,107305771,230000,0,254,0,0.0,0.7901,0.0
25,360551817.482989,10,19,249,1,1,1,1,0,4217235,44486,998,2134,21,361423376.482989,49888654,50800,0,15,0,0.6696,0.8745,0.0
26,227295577.482989,22,1,7857,0,0,1,1,0,1159608,1957,542,104,35,227831772.482989,328932894,837000,0,1288,0,0.1759,-0.7149,0.0
27,81519435.482989,3,10,438,1,0,1,1,0,148982,2817,94,139,21,241076282.482989,253687919,38100,0,2070,0,0.0,0.4215,0.0
28,39985007.482989,0,22,7224,1,0,1,1,0,628086,1232,364,79,21,55661473.482989,2376148,10100,0,24,0,0.0,0.8402,0.0
29,94181588.482989,9,10,271,1,0,1,1,0,3663439,14208,1244,754,35,168135687.482989,370758772,900000,0,1352,0,0.0,0.4588,0.0
30,40324126.482989,7,22,7224,1,0,1,1,0,1162323,2742,706,267,21,55661473.482989,2376148,10100,0,24,0,0.0,0.8402,0.0
31,71252009.482989,14,10,177,1,1,1,0,0,3062108,94523,888,2840,20,160335918.482989,1697796514,5270000,0,475,0,0.0,0.0,0.0
32,99936447.482989,27,26,43211,0,0,1,1,0,808216,2079,471,70,75,213454615.482989,5224747,11300,0,67,0,-0.29600000000000004,0.9259,0.0
33,38853831.482989,32,1,522,1,1,1,0,0,722168,13293,532,748,21,87797796.482989,226888103,1600000,0,404,0,-0.5719,-0.7717,0.0
34,54235305.482989,19,10,189,1,0,1,0,0,9479948,141615,2326,2196,21,453040814.482989,14351679375,25800000,0,4247,0,0.0,0.6369,0.0
35,148979097.482989,18,10,246,1,1,1,1,0,1038276,6955,142,163,21,254923310.482989,29870878,207000,0,52,0,0.0,0.5106,0.0
36,386733729.482989,5,10,231,0,1,1,1,0,22893406,60537,3141,1836,21,477023470.482989,23245481,13400,0,31,0,0.0,0.0,0.0
37,70206209.482989,24,24,163,1,1,1,1,1,51538,834,420,43,21,485819863.482989,4602546527,8820000,0,3340,0,-0.2244,0.9953,0.0
38,15154670.482989,5,24,280,1,0,1,1,0,84467,1314,34,62,21,412932794.482989,552231605,726000,0,3060,0,0.0,0.0,0.0
39,54492255.482989,4,10,150,1,0,1,0,0,465913,3157,60,111,21,116540470.482989,1788561,6140,0,47,0,0.0,0.4588,0.0
40,56695408.482989,38,10,179,1,0,1,1,0,3693350,45361,845,603,21,306588965.482989,15677044543,14300000,0,153,0,0.0,-0.4019,0.0
41,71816961.482989,0,22,231,0,0,1,1,0,53215,627,11,17,21,79511612.482989,3526327,3830,0,1882,0,0.0,0.0,0.0
42,2414100.482989,2,10,142,1,0,1,1,0,335,23,2,0,21,196338608.482989,117818253,199000,0,97653,0,0.0,0.128,0.0
43,117368646.482989,27,26,43211,0,0,1,1,0,362419,834,217,40,75,213454615.482989,5224747,11300,0,67,0,0.4939,0.8517,0.0
44,34585946.482989,0,22,187,0,0,1,1,0,54916,1821,9,29,21,34813567.910051,2178836,3090,0,43,0,0.0,-0.2732,0.5859
45,17178208.482989,15,24,158,1,0,1,1,0,18122,1110,13,58,82,166386669.482989,33027159,38500,0,1925,0,0.0,-0.5849,0.0
46,39127399.482989,31,10,225,1,0,1,0,0,6359005,57450,5036,5064,39,292208970.482989,353915470,677000,0,801,0,0.0,0.0,0.0
47,70859610.482989,26,24,338,1,0,1,1,0,1079931,1703,541,36,35,213924841.482989,366758740,910000,0,5969,0,0.4738,0.9507,0.0
48,127046294.482989,0,10,748,1,0,1,1,0,415592,12764,102,515,21,171376506.482989,1383578,2260,0,64,0,0.0,-0.0516,0.0
49,67239446.482989,0,22,347,0,0,1,1,0,9,3,1,1,21,105768593.482989,15346,276,0,59,0,0.0,0.0,0.0
50,9351704.482989,0,22,161,0,0,1,1,0,3,1,0,0,21,134080726.482989,14,0,0,6,0,0.0,0.0,0.0
51,52753132.482989,0,22,27,0,0,1,1,0,9,0,0,0,21,61950393.482989,10,0,0,1,0,0.0,0.0,0.0
52,60068056.482989,0,22,145,1,0,1,1,0,28,0,0,0,21,195493422.482989,42,1,0,2,0,0.0,0.0,0.0
53,2894578.482989,45,20,68,1,0,1,1,0,1,0,0,0,46,10663478.927715,265,2,0,322,0,0.0,0.4215,0.25
54,57293160.482989,0,22,328,1,0,1,1,0,3,0,0,0,21,108410465.482989,3,1,0,1,0,0.0,0.0,0.0
55,123014303.482989,0,22,211,0,0,1,1,0,93,1,1,0,21,165661331.482989,347,7,0,4,0,0.0,0.0,0.0
56,93118418.482989,0,22,376,1,0,1,1,0,48,4,0,0,21,131004952.482989,88,2,0,3,0,0.0,0.0,0.0
57,85226880.482989,0,22,216,1,0,1,1,1,34,5,0,0,21,97876027.482989,565,18,0,29,0,0.0,0.0,0.0
58,21221204.482989,0,22,19,1,0,1,1,0,21,2,0,0,21,21221697.469724,36,2,0,6,0,0.0,0.0,0.0
59,92163766.482989,0,22,54,1,0,1,1,1,53,6,1,0,21,97876027.482989,565,18,0,29,0,0.0,0.0,0.0
60,79818378.482989,0,22,195,1,0,1,1,1,25,4,0,0,21,97876027.482989,565,18,0,29,0,0.0,0.0,0.0
61,94063640.482989,0,22,76,1,0,1,1,1,166,8,0,0,21,97876027.482989,565,18,0,29,0,0.0,0.0,0.0
62,85139534.482989,0,22,538,1,0,1,1,1,24,3,0,0,21,97876027.482989,565,18,0,29,0,0.0,0.0,0.0
63,157147307.482989,0,22,40,0,1,1,1,1,233,0,0,0,21,168571233.482989,304,0,0,3,0,0.0,0.0,0.0
64,56839267.482989,0,22,38,0,0,1,1,0,8,1,0,0,21,89750150.482989,348,2,0,54,0,0.0,0.0,0.0
65,20000259.482989,0,1,353,0,0,1,1,1,7,0,0,0,21,334407791.482989,54,1,0,3,0,0.0,0.0,0.0
66,51548162.482989,0,22,304,1,0,1,1,0,1766,72,0,3,21,92924187.482989,2493165,22900,0,219,0,0.0,0.8316,0.0
67,109779574.482989,0,23,38,0,0,1,1,0,14,0,0,0,21,443426587.482989,66286,13,0,27,0,0.0,0.0,0.0
68,26529099.482989,7,22,634,1,0,1,1,0,301,59,2,31,82,122326941.482989,1695506,8820,0,568,0,0.0,0.0,0.0
69,5097968.482989,0,22,178,0,0,1,1,0,0,0,0,0,21,207243079.482989,4194,12,0,755,0,0.0,0.0,0.0
70,132042653.482989,0,22,261,0,0,1,1,0,45,2,0,0,21,170063520.482989,19372,94,0,5,0,0.0,0.0,0.0
71,109779486.482989,0,23,33,0,0,1,1,0,16,0,0,0,21,443426587.482989,66286,13,0,27,0,0.0,0.0,0.0
72,41308613.482989,0,22,12,1,0,1,1,0,0,0,0,0,21,54229878.482989,39,0,0,6,0,0.6369,0.0,0.0
73,277656583.482989,1,25,136,1,0,1,1,0,642,4,0,0,21,304779835.482989,9615181,5360,0,482,0,0.8126,0.0,0.0
74,1993396.482989,42,24,202,0,0,1,1,0,1263,111,3,56,35,79913006.482989,2412403,844,1,818,0,0.0,0.9517,0.0
75,2007679.482989,7,22,510,1,0,1,1,0,3842,235,12,294,34,43203084.199571,415515,3418,1,278,0,0.0,-0.0075,0.0
76,25665763.482989,27,26,724,1,0,1,1,0,12217,204,3,65,21,314179741.482989,917106,6760,0,113,0,0.0,0.9678,0.0
77,264511273.482989,0,27,3936,1,1,1,1,0,158836,1185,44,122,21,304662376.482989,2439937,2940,0,4,0,0.0,0.2732,0.0
78,2067210.482989,27,27,665,1,0,1,1,0,13141,729,10,654,35,71191459.482989,4423939,40500,0,1207,0,0.0,-0.29600000000000004,0.0
79,2088305.482989,13,22,515,1,0,1,1,0,4380,180,8,261,34,43203084.199571,415515,3418,1,278,0,0.0,-0.0075,0.0
80,91457557.482989,28,28,1742,1,0,1,1,0,28761,196,20,99,21,314179741.482989,917106,6760,0,113,0,0.0,0.9756,0.0
81,17667807.482989,29,27,1295,1,0,1,1,0,35784,2698,34,571,45,54467854.482989,7380827,198000,0,175,0,-0.4466,-0.7034,0.0
82,82563902.482989,9,27,182,1,0,1,1,0,9161,151,3,56,21,245956731.482989,61288,190,0,60,0,0.0,0.7345,0.0
83,25756993.482989,8,26,183,1,0,1,1,0,46595,0,0,7,61,395024620.482989,2597865,2278,1,43,0,0.0,0.0,0.0
84,1996817.482989,63,27,2871,1,0,1,1,0,1420,36,2,11,35,181331903.482989,4828146,1191,1,1084,0,0.4019,0.4019,0.0
85,47816368.482989,12,22,7637,1,0,1,1,0,6790,99,1,48,21,87446492.482989,26634,340,0,26,0,0.0,0.0,0.0
86,36309015.482989,15,26,318,1,0,1,1,0,173028,5181,267,235,35,90080710.482989,13291563,183000,0,86,0,0.3612,0.8343,0.0
87,2265209.482989,10,27,445,1,0,1,1,0,4301,134,5,184,35,293627755.482989,108648,1520,0,92,0,0.0,0.0,0.0
88,2260811.482989,7,22,495,1,0,1,1,0,5655,264,6,380,34,43203084.199571,415515,3418,1,278,0,0.0,-0.0075,0.0
89,23190157.482989,27,22,714,1,0,1,1,0,18001,777,14,138,45,62762312.482989,560769,17800,0,33,0,0.0,0.9259,0.0
90,69819266.482989,5,22,412,1,0,1,1,0,7732,90,5,12,35,70780543.482989,10445306,141000,0,801,0,0.0,0.0,0.0
91,2306742.482989,11,27,365,1,0,1,1,0,1222,73,1,44,35,319651263.482989,1740713,88800,0,95,0,0.0,0.7906,0.0
92,2350191.482989,7,27,392,1,0,1,1,0,7341,185,2,188,35,293627755.482989,108648,1520,0,92,0,0.0,0.0,0.0
93,2145632.482989,24,19,666,1,0,1,1,0,797,38,1,33,35,14857010.636038,229019,7800,0,29,0,0.0,0.0,0.0
94,42704885.482989,3,22,121,1,0,1,1,0,32809,235,14,8,21,46749082.482989,36963,330,0,5,0,0.0,0.7351,0.0
95,125713800.482989,0,27,133,0,0,1,1,0,316234,1635,168,59,21,172349245.482989,318245,2620,0,6,0,0.0,0.0,0.0
96,1992302.482989,28,27,275,1,0,1,1,0,919,51,1,76,35,5184240.852041,36193,813,1,28,0,0.0,0.8374,0.0
97,2168907.482989,14,22,361,1,0,1,1,0,5852,260,8,466,34,43203084.199571,415515,3418,1,278,0,0.0,-0.0075,0.0
98,2433632.482989,0,27,513,1,0,1,1,0,5694,216,4,186,35,293627755.482989,108648,1520,0,92,0,0.5622,0.0,0.0
99,27433081.482989,0,22,643,1,0,1,1,0,42630,835,18,156,18,243051534.482989,7825614,114000,0,173,0,0.0,0.0,0.0
100,125316383.482989,3,28,752,1,0,1,1,0,366467,2288,191,122,61,137185709.482989,13797561,46800,0,455,0,0.0,0.0,0.0
101,2235543.482989,0,27,349,1,0,1,1,0,3531,134,5,179,35,293627755.482989,108648,1520,0,92,0,0.5319,0.0,0.0
102,29802400.482989,36,15,888,1,0,1,1,0,263983,7596,211,1176,35,86894211.482989,4652698,145000,0,81,0,0.0,0.9754,0.5267
103,4255739.482989,8,15,739,1,0,1,1,0,73094,4636,119,1111,35,62890958.482989,15107186,223000,0,177,0,0.0,0.0,0.0
104,47829181.482989,21,22,270,1,0,1,1,0,25695,343,19,17,8,53046439.482989,157912,2392,1,56,0,0.2732,0.5574,0.0
105,63444159.482989,10,28,482,1,0,1,1,0,31169,325,59,0,35,87252604.482989,8144177,106000,0,152,0,0.0,0.4019,0.0
106,2094197.482989,15,22,300,1,0,1,1,0,1831,88,3,76,35,41110720.523921,31637,1049,1,362,0,0.0,0.0,0.0
107,2166183.482989,42,24,293,1,0,1,1,0,3957,217,6,118,35,79913006.482989,2412403,844,1,818,0,0.0,0.9517,0.0
108,65781618.482989,24,26,924,1,0,1,1,0,345580,2644,241,148,55,183667848.482989,7998835,41300,0,405,0,0.0,0.0,0.0
109,2094198.482989,66,27,393,1,0,1,1,0,3719,126,13,26,35,181331903.482989,4828146,1191,1,1084,0,0.0,0.5007,0.0
110,3188578.482989,27,27,649,1,0,1,1,0,8213,317,9,327,35,71191459.482989,4423939,40500,0,1207,0,0.0,-0.29600000000000004,0.0
111,2232442.482989,27,27,359,1,0,1,1,0,20290,1144,15,909,35,71191459.482989,4423939,40500,0,1207,0,0.0,-0.29600000000000004,0.0
112,2270561.482989,13,22,269,1,0,1,1,0,3045,115,1,151,34,195800039.482989,47741,4851,1,83,0,-0.29600000000000004,-0.7783,0.0
113,2066416.482989,63,27,3858,0,0,1,1,0,1696,58,7,1,35,181331903.482989,4828146,1191,1,1084,0,0.0,0.0,0.0
114,14346096.482989,12,22,903,1,0,1,1,0,6272,333,6,145,35,302645453.482989,158456,4076,1,37,0,0.0,0.7672,0.0
115,44221747.482989,0,22,305,1,0,1,1,0,43360,1074,26,317,18,243051534.482989,7825614,114000,0,173,0,0.0,0.0,0.0
116,21437008.482989,1,27,679,1,0,1,1,0,6764,428,5,57,51,185377993.482989,479015,12100,0,151,0,0.0,-0.5267,0.0
117,8783000.482989,27,27,886,1,0,1,1,0,35925,1249,20,194,1,92765058.482989,25532239,172000,0,202,0,0.34,0.0,0.0
118,2082871.482989,13,22,204,1,0,1,1,0,1643,75,5,25,34,195800039.482989,47741,4851,1,83,0,0.0,-0.7998,0.0
119,37966067.482989,0,24,4232,1,0,1,1,0,4253,172,1,13,51,253390033.482989,121962,6830,0,91,0,0.0,-0.0516,0.0
120,14387865.482989,19,22,584,1,0,1,1,0,3326,95,2,11,41,188208091.482989,3085133,19000,0,138,0,0.0,0.0,0.0
121,16310426.482989,25,17,4170,1,0,1,1,0,7980,99,6,25,21,67196518.482989,3181835,25100,0,442,0,-0.4215,-0.7734,0.0
122,9362604.482989,3,27,556,1,0,1,1,0,3936,366,6,26,51,185377993.482989,479015,12100,0,151,0,0.0,-0.7622,0.0
123,2002644.482989,9,22,518,1,0,1,1,0,64708,5075,60,199,76,168413688.482989,207534424,731000,0,756,0,0.6166,0.0,0.0
124,2022203.482989,46,17,91,1,0,1,1,0,78730,1444,29,116,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
125,2022178.482989,40,17,91,1,0,1,1,0,72716,1551,58,156,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
126,2005664.482989,6,20,0,0,0,1,1,0,7149,1038,26,0,21,128281585.482989,2993118,29500,0,711,0,0.0,-0.5319,0.0
127,2109775.482989,41,17,91,1,0,1,1,0,209843,2480,84,167,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.836,0.0
128,2108597.482989,39,17,91,1,0,1,1,0,135391,2258,36,202,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
129,37079436.482989,21,10,206,1,1,1,1,0,17155570,162180,3600,1275,2,149644496.482989,367152210,1360000,0,213,0,0.0,0.0,0.0
130,2040431.482989,46,17,91,1,0,1,1,0,13358,214,9,10,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.29600000000000004,0.0
131,2045774.482989,40,17,91,1,0,1,1,0,7961,207,9,14,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.8909999999999999,0.0
132,2108603.482989,41,17,91,1,0,1,1,0,428524,8121,177,760,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
133,2152844.482989,8,22,487,1,0,1,1,0,47089,2397,41,143,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
134,2014491.482989,0,22,31,1,0,1,1,0,21226,6,0,3,21,46577494.482989,19352145,320,0,11,0,0.0,0.0,0.0
135,112973360.482989,28,22,891,1,1,1,1,0,349098,4757,122,559,21,229786160.482989,78358648,276000,0,2431,0,0.0,0.6402,0.0
136,47965081.482989,6,24,124,1,0,1,1,0,56901,2251,11,144,21,113753959.482989,21206788,487000,0,55,0,0.0,0.9886,0.0
137,49953533.482989,30,20,1481,1,0,1,1,0,76004,933,228,65,82,290558108.482989,23515956,61400,0,2537,0,-0.2481,0.6341,0.0
138,2387316.482989,7,24,458,1,0,1,1,0,2129,443,5,35,41,141238747.482989,9591002,99100,0,796,0,0.0,0.0,0.0
139,2824980.482989,0,20,1072,1,0,1,1,0,4259,145,5,31,75,144150646.482989,15091348,48800,0,885,0,0.0,0.8816,0.0
140,56404690.482989,17,24,648,1,0,1,1,0,1311567,16510,723,562,76,190350412.482989,1188533613,2480000,0,2308,0,0.7626,0.0,0.0
141,2108598.482989,40,17,91,1,0,1,1,0,108747,1691,27,61,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
142,2323692.482989,8,20,542,1,0,1,1,0,96346,4699,81,296,76,168413688.482989,207534424,731000,0,756,0,-0.1027,-0.1027,0.0
143,2141005.482989,24,10,233,1,0,1,1,0,27617,346,0,40,29,81688093.482989,4849356,24400,0,83,0,0.0,0.0,0.0
144,2321009.482989,1,20,640,1,0,1,1,0,4273,93,11,4,21,132353450.482989,14332179,46900,0,2934,0,0.8038,0.0,0.0
145,3015474.482989,9,22,559,1,0,1,1,0,79153,5228,69,187,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
146,5238394.482989,31,20,1623,1,0,1,1,0,116203,2697,54,237,76,218890602.482989,112638235,310000,0,1130,0,0.0,0.6739,0.0
147,11209410.482989,0,20,901,1,0,1,1,0,21648,277,21,53,75,144150646.482989,15091348,48800,0,885,0,0.34,0.9175,0.0
148,7422243.482989,8,22,660,1,0,1,1,0,272880,14594,225,307,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
149,4686205.482989,23,17,208,1,1,1,1,0,5671087,26219,633,3287,9,137117033.482989,170869716,236000,0,360,0,0.0,0.0,0.0
150,2015003.482989,1,20,588,1,0,1,1,0,565,38,0,2,21,132353450.482989,14332179,46900,0,2934,0,0.0,0.0,0.0
151,9149763.482989,6,20,531,1,0,1,1,0,305790,5729,176,220,76,168413688.482989,207534424,731000,0,756,0,0.368,0.368,0.0
152,2116674.482989,39,17,90,1,0,1,1,0,14445,213,6,7,1,461926936.482989,1711091491,6350000,0,35656,0,0.0,0.0,0.0
153,98715711.482989,26,22,555,1,1,1,1,0,419348,5610,138,663,21,229786160.482989,78358648,276000,0,2431,0,-0.5622,0.7805,0.0
154,26689385.482989,1,20,918,1,0,1,1,0,60693,379,42,19,21,132353450.482989,14332179,46900,0,2934,0,0.0,0.0,0.0
155,14677665.482989,5,22,598,1,0,1,1,0,325721,14381,282,749,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
156,3360338.482989,8,22,566,1,0,1,1,0,108574,5031,75,243,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
157,11567419.482989,10,22,641,1,0,1,1,0,413276,9460,245,359,76,168413688.482989,207534424,731000,0,756,0,0.6166,0.6166,0.0
158,8028183.482989,6,20,601,1,0,1,1,0,240399,5002,155,156,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
159,2780465.482989,65,20,692,1,0,1,1,0,4572,42,6,17,18,174547498.482989,1821737,7090,0,306,0,0.0,0.9929,0.0
160,3879803.482989,8,22,482,1,0,1,1,0,120654,4804,81,308,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
161,2040890.482989,0,22,7657,1,0,1,1,1,1577,20,1,0,1,83689400.482989,55579,598,0,203,0,0.0,0.0,0.0
162,8541803.482989,1,20,217,1,0,1,1,0,16100,207,12,12,21,132353450.482989,14332179,46900,0,2934,0,0.0,0.0,0.0
163,101235364.482989,0,20,1157,1,0,1,1,0,546318,2835,368,358,75,144150646.482989,15091348,48800,0,885,0,-0.29600000000000004,0.9718,0.0
164,11828373.482989,8,22,762,1,0,1,1,0,534362,10908,290,468,76,168413688.482989,207534424,731000,0,756,0,0.0,0.0,0.0
165,2032728.482989,0,17,723,1,0,1,1,0,504,9,7,13,1,339119151.482989,1556368,7270,0,1438,0,0.0,0.0,0.0
166,132412962.482989,0,24,287,1,0,1,1,1,19068,164,4,1,21,327763354.482989,335768,779,0,212,0,0.0,0.0,0.0
167,157530559.482989,0,22,135,1,1,1,1,0,2530517,11204,1640,1508,21,189809174.482989,2576711,8350,0,5,0,0.4588,0.0,0.0
168,3706637.482989,10,22,614,1,0,1,1,0,139634,6957,90,300,76,168413688.482989,207534424,731000,0,756,0,0.8429,0.8429,0.0
169,2031829.482989,12,17,251,1,0,1,1,0,2812,0,0,0,1,287671564.482989,19462135,59600,0,8306,0,0.0,0.34,0.0
170,2027437.482989,0,26,343,1,0,1,1,0,986,84,0,18,85,362490963.482989,67052,1450,0,22,0,0.0,0.0,0.0
171,2130970.482989,6,17,432,1,0,1,1,0,1021,62,1,8,1,156878182.482989,1386686,11300,0,1086,0,0.0,0.0,0.0
172,161903184.482989,10,22,80,1,0,1,1,0,75710,70,6,1,0,167000366.482989,850746,2330,0,71,0,0.0,0.0,0.0
173,45431202.482989,6,10,207,1,0,1,1,0,258,52,1,74,31,230748203.482989,12625,4364,1,43,0,0.0,0.5859,0.0
174,14793435.482989,0,22,176,1,0,1,1,0,133,5,0,0,31,139142106.482989,21888,301,0,48,0,0.0,0.0,0.0
175,36777838.482989,0,22,329,1,0,1,1,0,33,5,0,0,21,109779022.482989,15172,184,0,13,0,0.29600000000000004,0.0,0.0
176,39335855.482989,0,24,191,1,0,1,1,0,1469,2,0,1,75,251516675.482989,87611,1870,0,111,0,0.0,0.0772,0.0
177,105456942.482989,0,29,273,1,0,1,1,0,461,10,2,0,66,168343122.482989,31903667,164000,0,9987,0,0.0,0.0,0.0
178,230138288.482989,0,22,84,1,1,1,1,0,60,1,0,0,21,343529623.482989,126,2,0,4,0,0.0,0.0,0.0
179,26064546.482989,0,22,154,0,0,1,1,0,6,0,0,0,21,26066403.519509,45,3,0,10,0,0.0,0.0,0.0
180,30667932.482989,0,22,268,1,0,1,1,0,6,0,0,0,21,34252776.77658,31,0,0,5,0,0.0,0.0,0.0
181,49316274.482989,0,22,23,1,0,1,1,0,17,4,0,0,21,81277881.482989,958,21,0,28,0,0.0,0.0,0.0
182,465508571.482989,1,23,66,0,0,1,1,0,448,0,0,0,21,465509253.482989,25254,16,0,104,0,0.34,0.0,0.0
183,51013296.482989,0,22,220,1,0,1,1,0,97,3,0,0,73,256580659.482989,1254,4,0,18,0,0.0,0.0,0.0
184,124421056.482989,0,1,31,1,0,1,1,0,9,0,0,0,21,343529623.482989,126,2,0,4,0,0.0,0.0,0.0
185,50757688.482989,0,22,297,1,0,1,1,0,42,1,0,0,73,256580659.482989,1254,4,0,18,0,0.0,0.0,0.0
186,35517640.482989,0,24,254,1,0,1,1,0,310,21,1,3,31,57962337.482989,59480,1130,0,55,0,0.0,0.29600000000000004,0.0
187,76944979.482989,11,22,394,1,1,1,1,0,101617,8537,48,356,21,116649821.482989,633560,6050,0,39,1,0.4215,0.4215,0.0
188,48697828.482989,0,22,15,1,0,1,1,0,22,5,0,0,21,81277881.482989,958,21,0,28,0,0.0,0.0,0.0
189,122913749.482989,4,22,2096,1,0,1,1,0,526,3,0,1,48,126795739.482989,262613,3760,0,167,0,0.0,0.5553,0.0
190,397400764.482989,10,22,249,0,0,1,1,0,754,0,0,0,21,465509253.482989,25254,16,0,104,0,0.0,0.0,0.0
191,459022934.482989,3,22,220,0,0,1,1,0,137,0,0,0,21,465509253.482989,25254,16,0,104,0,0.0,0.0,0.0
192,382037435.482989,9,22,157,0,0,1,1,0,351,0,1,0,21,465509253.482989,25254,16,0,104,0,0.0,0.0,0.0
193,15053453.482989,4,20,1576,1,0,1,1,0,6,1,0,1,21,113808607.482989,841,47,0,51,0,0.0,0.0,0.0
194,408832251.482989,1,27,30,0,0,1,1,0,79,0,0,0,21,419083313.482989,22628,22,0,153,0,0.1779,0.1779,0.0
195,11456824.482989,4,22,89,1,0,1,1,0,252,44,0,15,21,60529863.482989,252,40,0,1,0,0.0,0.0,0.0
196,15056204.482989,4,20,110,1,0,1,1,0,11,2,0,0,21,113808607.482989,841,47,0,51,0,0.0,0.0,0.0
